Claim,Category,Source,Argument
"The Chinese government is doing more than the US government to support national efforts at blockchain development, measured by level of government funding and number of patents granted.",regulation,https://www.bizjournals.com/washington/news/2018/06/15/the-feds-are-finally-getting-serious-about.html,"As of October 2018, the US market has 933 blockchain start-ups that have raised $4,487 M, while China has only 61 companies that have raised $1,512 M. However, companies headquartered in China have a higher average valuation ($115.2 M) than companies in the US ($12.6 M). In terms of total raised funding, the Chinese companies also receive more money than companies in other countries. On average, the Chinese blockchain start-ups have raised $24.79 M, while the number is $4.81 M for US companies."
"Vinny stated in 2017 that the CVC token, initially issued on Ethereum, was a temporary placeholder until the launch of Rootstock, a smart contract platform implemented as a Bitcoin sidechain",eth,https://www.theblockcrypto.com/2018/12/21/civics-token-illustrates-why-companies-masquerading-tokens-will-fail/,"On 6/17/2017, Vinny responds 2 to a “@civickey is on ETH now?” tweet stating “Temporary, until RSK is ready”"
Manila residents were paid in Ethereum for cleaning up a heavily polluted beach in the capital city of Philippines’ Polluted Beaches.,eth,https://www.ccn.com/manila-residents-paid-in-ethereum-for-cleaning-up-philippines-polluted-beaches/,"Article links to actual bounties.network site here where volunteers post their clean-up submission. Each volunteer has a crypto-address, email and date submitted: https://explorer.bounties.network/bounty/1511. I emailed several volunteers directly to inquire if they actually got paid in ETH. Two people responded (note: names omitted for their privacy, but contact information is publicly available in the above bounties.network link). Here is one response confirming it."
A Byzantine fault-tolerant consensus protocol must guarantee two properties even in the face of Byzantine failures: Safety and Liveness. Safety is a guarantee that nodes agree on the total order of the transaction log. Liveness is a guarantee that nodes will eventually decides on some output value. Liveness is important because it’s the only way that the network can continue to be useful (i.e. process transactions).,consensus,https://medium.com/s/story/lets-take-a-crack-at-understanding-distributed-consensus-dad23d0dc95,This is a well known fact about consensus protocols. The best way to prove this is to show various academic papers which state this fact as well. Below are 5 example academic papers which mention safety and liveness as core requirements for a consensus protocol. Practical Byzantine Fault Tolerance (page 2). The latest gossip on BFT consensus 1 (page 4). Tendermint: Byzantine Fault Tolerance in the Age of Blockchains 1 (page 6). Consensus in the Presence of Partial Synchrony 1 (pg 290). Snowflake to Avalanche: A Novel Metastable Consensus Protocol Family for Cryptocurrencies 2(page 2)
The Chinese government is going to launch a digital currency,regulation,"http://news.cnstock.com/news,yw-201809-4268560.htm","“After the successful development of the legal digital currency prototype, the People’s Bank of China Digital Money Research Institute is being deployed in many places across the country, and through the integration with research and development institutions and industries, to achieve the development of financial technology research results.” The People’s Bank of China’s Digital Money Institute settled in Pengcheng and is closely related to the support of the Shenzhen Municipal Government. The Shenzhen Municipal Government has previously stated that Shenzhen is expected to be the first city to test the legal digital currency, and provide systematic preparation for this, including: advance layout research, strive for pilot projects, strive for digital currency promotion pilot qualifications, and cooperate with the establishment of digital currency."
90% of Monero is already mined,btc,https://www.ccn.com/over-90-of-moneros-block-reward-has-been-mined/,"Monero has a total supply of 18.4 million coins. Going to CoinStats, that circulating supply as of today (12/20/2018 at 3:48 pm) is 16,660,078 coins. This is would imply 90.54% of the total supply is already circulating."
"Both the US and China have invested large amounts of money into blockchain projects. The USA has a larger quantity of crypto projects which receive less funding on a per project basis, while China has fewer projects overall, but relatively high levels of funding on a per project basis.",funds,https://public.tableau.com/profile/fan.wen5373#!/vizhome/Blockchain_Companies/MapofFunding,"As of October 2018, the US market has 933 blockchain start-ups that have raised $4,487 M, while China has only 61 companies that have raised $1,512 M. However, companies headquartered in China have a higher average valuation ($115.2 M) than companies in the US ($12.6 M). In terms of total raised funding, the Chinese companies also receive more money than companies in other countries. On average, the Chinese blockchain start-ups have raised $24.79 M, while the number is $4.81 M for US companies."
Bank statements reviewed by Bloomberg News suggest Tether has fiat funds to back stablecoin,regulation,https://www.bloomberg.com/news/articles/2018-12-18/pros-are-ditching-bitcoin-market-as-interest-ebbs-jpmorgan-says?srnd=cryptocurrencies,"The source provides no verifiable evidence to the reader aside from the assertion that Bloomberg did in fact review some bank statements for Tether. The title used by CoinDesk is completely misleading. The bank statements that were supposedly reviewed were non-consecutive months, which would not pass any audit requirements I have ever heard of in my life (possibly why their auditor dissolved their relationship in January 2017 and they have not found a new one). Also, one of the statements mentioned was from 15 months ago (September 2017). According to the article Tether currently claims to have $1.8 billion in cash reserves for tokens in circulation. Nothing in the article suggests Bloomberg was able to verify their current cash reserves."
This is one of two only known reductions in the total mined supply of Bitcoin,btc,https://en.bitcoin.it/wiki/Controlled_supply,"One way to disprove this claim is by showing that there are more than two known reductions in the total mined supply of Bitcoin. This post 2 shows that there are at least 8 ways in which the mined supply of Bitcoin was reduced. If we can prove that at least 2 events (excluding to the Block 124724 event) from the post are true, then the claim is falsified. I pick two events: 1) Block 501726 had no transaction outputs (except a 0-value commitment), losing the entire 12.5 BTC subsidy. 2) Block 526591 didn’t claim half of the block reward, losing 6.25 BTC. Again, using blockchain.com, we can see that Block 501726 claimed 0 BTC. Block 526591 claimed 6.25 BTC, which is half of the next block’s reward of 12.5 BTC. These prove that in addition to the Block 124724 event, there are at least two more events where Bitcoin’s mined supply was reduced. "
Venezuela forcibly converts pensions into Petro,regulation,https://bitcoinerx.com/altcoin/venezuela-forcibly-converts-pensions-into-petro/,"The claim is that the Venezuelan government converted old people’s pension money into Petro’s without their permission. Read deeper into the article. There’s a link (https://www.caracaschronicles.com/2018/12/12/government-paying-old-age-pensions-in-petros-without-peoples-consent/) to a primary source. The primary source then gives a detailed walk-through of what elder citizens in Venezuela saw when they tried to access their pension money, including screenshots and shows how the government was paying people’s pensions in Petros (Venezuela’s cryptocurrency), without their consent. "
